pert_id,pert_iname,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,sd_score,positive_fraction,negative_fraction,reproducibility_score,tier,robust_rank
BRD-K09991945,GSK-3-inhibitor-II,5,4,1,0.0837003236174271,0.1154558059328921,-0.12125910732312,0.42004732967754455,0.18049810964399882,0.8,0.2,0.06696025889394168,Tier 2 — Strong 4/5+,45
BRD-K59184148,SB-216763,5,4,1,0.08323343431350619,0.12969941185632491,-0.2708959975955597,0.4407212195264071,0.2620158849241561,0.8,0.2,0.06658674745080495,Tier 2 — Strong 4/5+,46
BRD-K82091397,SB-239063,5,3,2,0.09861347452763647,0.10705311676224635,-0.19444144504398883,0.5102358560743852,0.26249994076326594,0.6,0.4,0.05916808471658188,Tier 3 — Moderate 3/5+,47
BRD-K15592317,CP-466722,5,3,2,0.09619212237947421,0.05870758496730335,-0.2062941988881643,0.3059762141468618,0.20130795471627178,0.6,0.4,0.057715273427684524,Tier 3 — Moderate 3/5+,48
BRD-K05870596,XMD-1499,5,3,2,0.09417920250047272,0.048124705849413106,-0.1580482709097627,0.2595763711513862,0.1882694609133766,0.6,0.4,0.05650752150028363,Tier 3 — Moderate 3/5+,49
BRD-K59067695,SU-11274,5,4,1,0.06601856418622658,0.005068288754511094,-0.3463464115535679,0.17117444720460148,0.20628457727036462,0.8,0.2,0.052814851348981263,Tier 2 — Strong 4/5+,50
BRD-K53972329,ruxolitinib,5,4,2,0.06582477574474717,0.04812639418024084,-0.07788599887074506,0.1792564089145235,0.08407451975257504,0.8,0.4,0.05265982059579774,Tier 2 — Strong 4/5+,51
BRD-K02123250,JNJ-38877605,5,3,2,0.08672939841674482,0.07927317344628426,-0.2119330014535452,0.3618378354477976,0.20147495407912883,0.6,0.4,0.05203763905004689,Tier 3 — Moderate 3/5+,52
BRD-K70511574,HMN-214,5,3,2,0.0672642331415868,0.014757588248734124,-0.37246086919955,0.39572026291204127,0.2737086870183022,0.6,0.4,0.04035853988495208,Tier 3 — Moderate 3/5+,53
BRD-A37704979,SB-203580,5,4,2,0.04788495595599945,4.2595789500832204e-4,-0.6475470216388628,0.4679264944340986,0.33647986138568914,0.8,0.4,0.038307964764799564,Tier 2 — Strong 4/5+,54
BRD-A90451247,KU-60019,5,3,2,0.06324465019744968,0.07248857675595352,-0.09178641817404123,0.2934288974753171,0.16140901460808108,0.6,0.4,0.037946790118469804,Tier 3 — Moderate 3/5+,55
BRD-A35869383,ibrutinib,5,3,2,0.05138423362677108,-0.08794103435084605,-0.6337210106469389,0.22782820393682213,0.34650822294234207,0.6,0.4,0.030830540176062647,Tier 3 — Moderate 3/5+,56
BRD-K98333955,NVP-AEW541,5,3,2,0.04574009321752734,-0.03218103533377398,-0.23383153075160068,0.10316183215963556,0.14485358427234774,0.6,0.4,0.027444055930516402,Tier 3 — Moderate 3/5+,57
BRD-K02113016,olaparib,5,4,1,0.03405585483832996,0.09571013627678764,-0.11386342124356308,0.3049140291943314,0.1681748227683145,0.8,0.2,0.027244683870663967,Tier 2 — Strong 4/5+,58
BRD-K53281329,SYK-inhibitor,5,3,2,0.04322310007721161,0.06880459089169033,-0.05214921920567714,0.23971988342242811,0.12572826315470104,0.6,0.4,0.025933860046326966,Tier 3 — Moderate 3/5+,59
BRD-K75308783,SAR-245409,5,3,2,0.03525318635348,0.005042443247472083,-0.1947130868842479,0.14166963556020604,0.14041596028425235,0.6,0.4,0.021151911812088,Tier 3 — Moderate 3/5+,60
BRD-K79404599,enzastaurin,5,3,3,0.03446454871938548,0.025664206104542182,-0.21166248507270996,0.3020071286870456,0.17674854624804273,0.6,0.6,0.020678729231631287,Tier 3 — Moderate 3/5+,61
BRD-A68739437,NPK76-II-72-1,5,3,3,0.024891429287717114,-0.013636927777647984,-0.4671682259569137,0.4534912760637626,0.3430995170037835,0.6,0.6,0.014934857572630267,Tier 3 — Moderate 3/5+,62
BRD-K94176593,TWS-119,5,3,3,0.02449065218702573,-0.03940530413344465,-0.5244506009691821,0.27011973187818283,0.27881217652803464,0.6,0.6,0.014694391312215437,Tier 3 — Moderate 3/5+,63
BRD-K09186807,KIN001-244,5,3,3,0.022241717050647647,0.03913431833782386,-0.2488215822107884,0.3665182317346498,0.2640478135118073,0.6,0.6,0.013345030230388587,Tier 3 — Moderate 3/5+,64
BRD-K64052750,gefitinib,5,3,3,0.01117667465371403,0.05605281917676416,-0.2671490504299298,0.28855360402080366,0.18048106019361754,0.6,0.6,0.006706004792228418,Tier 3 — Moderate 3/5+,65
BRD-K13566078,BMS-345541,5,3,3,0.0039066306389802154,0.026391800579707896,-0.2319286642993083,0.3633889434734052,0.2246287593260142,0.6,0.6,0.002343978383388129,Tier 3 — Moderate 3/5+,66
